Method,Dataset,Task0_Mean,Task0_Std,Task1_Mean,Task1_Std,Task2_Mean,Task2_Std,Task3_Mean,Task3_Std,Task4_Mean,Task4_Std,Task5_Mean,Task5_Std
PLAID,scifact,0.6955,0.0121,0.603,0.0481,0.6391,0.0255,0.7314,0.0177,0.7052,0.0453,0.6636,0.0638
PLAID,arguana,0.4526,0.0112,0.4131,0.0096,0.3911,0.0093,0.3399,0.0152,0.3479,0.0284,0.3127,0.0057
PLAID,fiqa,0.3826,0.0055,0.3562,0.0648,0.3875,0.031,0.3262,0.0372,0.3274,0.0076,0.2929,0.047
PLAID,touche2020,0.3815,0.0181,0.3621,0.0749,0.3545,0.0729,0.3894,0.0746,0.2594,0.0201,0.2703,0.1198
PLAID,lotte-pooled,0.4993,,0.5006,,0.5023,,0.4686,,0.4492,,0.4732,
IGP,scifact,0.6942,0.0127,0.5894,0.0441,0.6194,0.0336,0.7096,0.0255,0.712,0.025,0.65,0.0622
IGP,arguana,0.4462,0.0103,0.4073,0.0108,0.3889,0.0058,0.3407,0.0107,0.3447,0.025,0.3104,0.0091
IGP,fiqa,0.3429,0.005,0.3074,0.0473,0.3245,0.0455,0.2592,0.0493,0.2675,0.018,0.2466,0.0433
IGP,touche2020,0.3422,0.0123,0.3756,0.0779,0.3001,0.0845,0.2989,0.0138,0.2257,0.0431,0.2572,0.1447
IGP,lotte-pooled,0.3645,,0.3737,,0.3652,,0.3306,,0.2977,,0.3176,
MUVERA,scifact,0.6212,0.0107,0.6109,0.0593,0.6392,0.0829,0.6337,0.0483,0.6329,0.0247,0.6126,0.1177
MUVERA,arguana,0.4441,0.0055,0.4126,0.0304,0.3976,0.0062,0.338,0.0188,0.3497,0.0288,0.2868,0.0127
MUVERA,fiqa,0.4936,0.0097,0.4613,0.0254,0.4875,0.0203,0.4173,0.0233,0.3957,0.0166,0.4033,0.0604
MUVERA,touche2020,0.3131,0.0227,0.2534,0.1181,0.2577,0.0535,0.3156,0.0231,0.1695,0.0424,0.2137,0.138
MUVERA,lotte-pooled,,,,,,,,,,,,
Dessert,scifact,0.4927,0.007,0.465,0.0851,0.449,0.0634,0.5168,0.0441,0.4548,0.0759,0.4564,0.0199
Dessert,arguana,0.1689,0.0077,0.1149,0.0235,0.091,0.0287,0.0395,0.0173,0.037,0.0049,0.0081,0.0094
Dessert,fiqa,0.1964,0.0006,0.1908,0.0373,0.1878,0.0154,0.1666,0.0286,0.1574,0.0054,0.1449,0.0303
Dessert,touche2020,0.2423,0.0092,0.2691,0.0715,0.2733,0.0752,0.1636,0.0431,0.0931,0.0376,0.1387,0.0425
Dessert,lotte-pooled,0.0283,,0.0257,,0.0187,,0.0368,,0.0251,,0.0316,
XTR,scifact,0.7166,0.0116,0.6573,0.0263,0.6891,0.0253,0.7566,0.0207,0.7486,0.0324,0.722,0.0804
XTR,arguana,0.4327,0.0095,0.3951,0.0201,0.3607,0.0205,0.3235,0.0232,0.3184,0.0357,0.28,0.0039
XTR,fiqa,0.3802,0.0095,0.3431,0.0572,0.3558,0.0439,0.3231,0.0152,0.3053,0.0184,0.2962,0.0401
XTR,touche2020,0.394,0.0386,0.3779,0.0792,0.3907,0.1005,0.3991,0.0761,0.2786,0.0219,0.2932,0.123
XTR,lotte-pooled,0.4954,,0.4777,,0.4624,,0.4339,,0.4063,,0.4279,
StreamPLAID,scifact,0.6941,0.0094,0.5933,0.0531,0.6418,0.026,0.7161,0.0067,0.6787,0.0304,0.6644,0.0567
StreamPLAID,arguana,0.4491,0.0096,0.4118,0.0077,0.3884,0.0129,0.3325,0.0176,0.3465,0.0242,0.3117,0.0057
StreamPLAID,fiqa,0.3664,0.0071,0.3439,0.0487,0.3871,0.0342,0.3315,0.0401,0.3161,0.0157,0.2695,0.0409
StreamPLAID,touche2020,0.3749,0.0142,0.363,0.0902,0.3367,0.0797,0.3807,0.077,0.2676,0.0423,0.2655,0.1493
StreamPLAID,lotte-pooled,0.4675,,0.4457,,0.51,,0.4528,,0.4337,,0.4681,
