method,dataset,avg_update_time,std_dev
Dessert,arguana,15.21,0.21
Dessert,fiqa,220.61,111.61
Dessert,lotte-pooled,19050.12,
Dessert,scifact,8.25,2.25
Dessert,touche2020,2585.80,1154.06
IGP,arguana,26.78,3.04
IGP,fiqa,201.51,5.22
IGP,lotte-pooled,17865.58,
IGP,scifact,16.47,1.04
IGP,touche2020,1667.12,112.29
MUVERA,arguana,47.25,6.24
MUVERA,fiqa,334.57,34.17
MUVERA,scifact,24.08,1.65
MUVERA,touche2020,1460.04,198.74
PLAID,arguana,20.17,0.61
PLAID,fiqa,169.07,8.22
PLAID,lotte-pooled,17113.56,
PLAID,scifact,12.72,0.51
PLAID,touche2020,557.12,301.72
StreamPLAID,arguana,0.91,0.08
StreamPLAID,fiqa,3.66,0.18
StreamPLAID,lotte-pooled,512.28,
StreamPLAID,scifact,0.73,0.01
StreamPLAID,touche2020,30.74,0.75
XTR,arguana,26.43,4.70
XTR,fiqa,113.60,9.68
XTR,lotte-pooled,4586.02,
XTR,scifact,18.54,2.92
XTR,touche2020,751.11,48.35
