Method,Dataset,Step0_Mean,Step0_Std,Step1_Mean,Step1_Std,Step2_Mean,Step2_Std,Step3_Mean,Step3_Std,Step4_Mean,Step4_Std,Step5_Mean,Step5_Std
PLAID,scifact,0.6955,0.0121,0.6805,0.0131,0.6672,0.0085,0.6626,0.0088,0.6518,0.0091,0.6455,0.0068
PLAID,arguana,0.4526,0.0112,0.417,0.0145,0.3865,0.0131,0.3611,0.0107,0.3363,0.0106,0.3147,0.0079
PLAID,fiqa,0.3826,0.0055,0.3718,0.0077,0.3554,0.0083,0.3421,0.0043,0.3332,0.0075,0.3248,0.0088
PLAID,touche2020,0.3815,0.0181,0.3661,0.0183,0.3552,0.0129,0.3404,0.0223,0.3291,0.0291,0.3193,0.033
PLAID,lotte-pooled,0.4993,,0.4843,,0.4696,,0.466,,0.4577,,0.4443,
IGP,scifact,0.6942,0.0127,0.6781,0.0143,0.6664,0.0127,0.6565,0.0075,0.6401,0.0011,0.6423,0.0073
IGP,arguana,0.4462,0.0103,0.4097,0.0157,0.3821,0.0115,0.3561,0.0084,0.3332,0.0121,0.312,0.0093
IGP,fiqa,0.3429,0.005,0.3116,0.0053,0.3062,0.0046,0.2916,0.0071,0.2881,0.0087,0.2744,0.0038
IGP,touche2020,0.3422,0.0123,0.3279,0.0447,0.3304,0.007,0.3028,0.0377,0.2869,0.0171,0.2633,0.0127
IGP,lotte-pooled,0.3645,,0.3373,,0.3437,,0.3365,,0.3164,,0.3038,
MUVERA,scifact,0.6212,0.0107,0.6095,0.0125,0.5979,0.0143,0.5857,0.0143,0.5762,0.0088,0.5608,0.0103
MUVERA,arguana,0.4441,0.0055,0.4106,0.0065,0.3806,0.0072,0.3532,0.0039,0.3313,0.0051,0.3109,0.0025
MUVERA,fiqa,0.4936,0.0097,0.475,0.0102,0.4566,0.007,0.4428,0.0039,0.4307,0.0026,0.422,0.0029
MUVERA,touche2020,0.3131,0.0227,0.2986,0.0239,0.2916,0.023,0.2809,0.0256,0.2704,0.0243,0.2547,0.0244
MUVERA,lotte-pooled,,,,,,,,,,,,
Dessert,scifact,0.4927,0.007,0.4987,0.0063,0.4942,0.0237,0.4601,0.0141,0.4572,0.017,0.4417,0.0167
Dessert,arguana,0.1689,0.0077,0.1366,0.0175,0.1228,0.0119,0.0599,0.0057,0.0358,0.0074,0.0101,0.0022
Dessert,fiqa,0.1964,0.0006,0.2019,0.0015,0.199,0.0052,0.1856,0.0045,0.1785,0.0039,0.1554,0.002
Dessert,touche2020,0.2423,0.0092,0.2154,0.0021,0.1959,0.0216,0.1833,0.0136,0.1136,0.0135,0.1262,0.01
Dessert,lotte-pooled,0.0283,,0.0265,,0.024,,0.0385,,0.0309,,0.0284,
XTR,scifact,0.7166,0.0116,0.7078,0.0127,0.6947,0.0096,0.6809,0.0119,0.6698,0.0053,0.661,0.0089
XTR,arguana,0.4327,0.0095,0.3967,0.0107,0.365,0.0054,0.3406,0.0037,0.3169,0.0073,0.2912,0.0046
XTR,fiqa,0.3802,0.0095,0.3599,0.0074,0.349,0.0067,0.3345,0.0061,0.3235,0.0077,0.3131,0.0081
XTR,touche2020,0.394,0.0386,0.3673,0.0361,0.3493,0.0319,0.3339,0.0298,0.3235,0.0338,0.312,0.0313
XTR,lotte-pooled,0.4954,,0.4724,,0.4559,,0.4427,,0.4333,,0.4212,
StreamPLAID,scifact,0.6941,0.0094,0.6857,0.0129,0.6698,0.0099,0.6587,0.0106,0.6498,0.0126,0.6444,0.0126
StreamPLAID,arguana,0.4491,0.0096,0.4139,0.0151,0.3826,0.0126,0.3565,0.0114,0.3317,0.0105,0.3102,0.0073
StreamPLAID,fiqa,0.3664,0.0071,0.3565,0.0081,0.3459,0.0091,0.3293,0.0078,0.3212,0.006,0.3159,0.0049
StreamPLAID,touche2020,0.3749,0.0142,0.3632,0.0114,0.3512,0.0132,0.3329,0.0197,0.3245,0.0232,0.3099,0.0268
StreamPLAID,lotte-pooled,0.4675,,0.4504,,0.4728,,0.459,,0.4481,,0.4374,
