Method,Dataset,Step0_Mean,Step0_Std,Step1_Mean,Step1_Std,Step2_Mean,Step2_Std,Step3_Mean,Step3_Std,Step4_Mean,Step4_Std
PLAID,beir-ood,0.5749,0.0021,0.5774,0.0023,0.5726,0.0005,0.5725,0.0023,0.5715,0.0013
PLAID,lotte-ood,0.3918,0.0005,0.3873,0.0003,0.3854,0.0013,0.3838,0.0002,0.3812,0.0011
IGP,beir-ood,0.5656,0.003,0.5627,0.0023,0.5595,0.0014,0.5553,0.004,0.5598,0.0053
IGP,lotte-ood,0.3433,0.0031,0.3361,0.0018,0.3283,0.0064,0.3243,0.0051,0.3207,0.0011
MUVERA,beir-ood,0.5214,0.0,0.5117,0.0012,0.5103,0.0018,0.5068,0.0028,0.5062,0.0023
MUVERA,lotte-ood,0.5094,0.0,0.5052,0.0002,0.5048,0.0001,0.5038,0.0001,0.4994,0.0001
Dessert,beir-ood,0.4041,0.0136,0.3981,0.0079,0.3919,0.0087,0.371,0.0163,0.3297,0.0037
Dessert,lotte-ood,0.1954,0.0015,0.1093,0.0025,0.0679,0.0009,0.0432,0.0005,0.0865,0.0006
XTR,beir-ood,0.6097,0.0011,0.6077,0.0007,0.6099,0.003,0.6071,0.0011,0.6072,0.0004
XTR,lotte-ood,0.3799,0.0001,0.3731,0.0003,0.3719,0.0005,0.3695,0.0006,0.3648,0.0003
StreamPLAID,beir-ood,0.5731,0.0016,0.5739,0.0015,0.5722,0.001,0.5706,0.0022,0.5705,0.0014
StreamPLAID,lotte-ood,0.3843,0.0006,0.384,0.0002,0.3815,0.0006,0.3804,0.0004,0.3769,0.0009
